Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+shannon_entropy+helix+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3252.8286377963395;29.93786847062937;758783.8296702966;(0.606925022505832, 9.36632905284802e-16)
aa_freq+shannon_entropy+helix+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3646.6214714466887;32.08428105804195;758862.8282830366;(0.5701937833345201, 1.058945922922777e-13)
aa_freq+shannon_entropy+turn+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3661.8104396354997;32.42958875034965;758917.380419719;(0.5679263870190051, 1.3911878553493713e-13)
aa_freq+residue_repeats+aromaticity+helix+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}";2055.7885464459996;28.472750603496497;9920041.314792229;(0.7542307945628506, 1.5384542004317176e-27)
aa_freq+residue_repeats+aromaticity+helix+turn+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6321.69430946841;37.11853745664336;227555.2456795458;(0.491575657179062, 4.5379073230143834e-10)
aa_freq+residue_repeats+aromaticity+helix+turn+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3578.477723465185;30.78112829580419;214059.5692443932;(0.5772555983355617, 4.465781976222618e-14)
aa_freq+residue_repeats+aromaticity+helix+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6321.502351174704;37.09533465944057;227968.67435356235;(0.49164561111977984, 4.5083747344950794e-10)
aa_freq+residue_repeats+aromaticity+helix+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3558.5713343043462;30.442806617482514;214059.71154955254;(0.5787386526687044, 3.7153668958035913e-14)
aa_freq+residue_repeats+aromaticity+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";4280.030026302741;32.06851046363636;26575948.048600152;(0.5140462687258225, 5.15495954049797e-11)
aa_freq+residue_repeats+aromaticity+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6321.693679846032;37.12050948461539;227969.24650867996;(0.49155194745016306, 4.547959217913457e-10)
aa_freq+residue_repeats+aromaticity+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";5749.352201793864;36.20630661748252;52923436.47834762;(0.4732826518411501, 2.38162453491463e-09)
aa_freq+residue_repeats+aromaticity+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";4275.269799030013;31.944384589510488;26575947.675849784;(0.514247266561066, 5.051978798086473e-11)
aa_freq+residue_repeats+aromaticity+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";4283.74485387267;32.12267130279721;26575950.788635768;(0.5136453078625964, 5.3664927000741974e-11)
aa_freq+residue_repeats+helix+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6321.693679846032;37.12050948461539;227969.24650867996;(0.49155194745016306, 4.547959217913457e-10)
aa_freq+residue_repeats+helix+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";3548.4030460368635;30.588894030069927;214248.80512122967;(0.5791755647398114, 3.518740634112743e-14)
aa_freq+residue_repeats+helix+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";4280.030133820223;32.068615358741255;26575951.54510365;(0.5140458192046938, 5.155192112235776e-11)
