Data;Best_params;MSE;MAE;MAPE;PCC
dipep_freq+shannon_entropy+net_contact_energy+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};5291.577857521839;43.38071075748707;190.7378571987259;(0.3304790581128736, 0.0693982541382575)
dipep_freq+shannon_entropy+net_contact_energy+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4955.263254540686;40.992134155982406;144.3091223430126;(0.42140793502542717, 0.018224132982330648)
dipep_freq+shannon_entropy+net_contact_energy+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4998.71806201916;41.21783987538775;144.73168606427865;(0.41376989189504165, 0.020673506084365405)
dipep_freq+shannon_entropy+net_contact_energy+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4966.752928622356;41.02282414970188;144.44482095701693;(0.4189083969913101, 0.018997697091344096)
dipep_freq+shannon_entropy+aromaticity+helix+turn+sheet+gravy;{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'};4946.225675298546;43.79694349658679;137.8352434841097;(0.5797528167788268, 0.0006305283667861368)
dipep_freq+shannon_entropy+aromaticity+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5098.266373414892;44.10309186845908;166.32992587237186;(0.5389563022899839, 0.0017580708493809393)
dipep_freq+shannon_entropy+aromaticity+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};4761.045669017385;43.04607212848651;182.9910163512675;(0.5563541748437859, 0.0011535927857603547)
dipep_freq+shannon_entropy+aromaticity+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};4796.466922970966;44.261703050750654;181.19144226242994;(0.5755756573384272, 0.0007046597747865873)
dipep_freq+shannon_entropy+aromaticity+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'};5158.410153364062;44.777795035126765;183.3099041253027;(0.48970066883311064, 0.0051713165147983815)
dipep_freq+shannon_entropy+helix+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};5071.032301626224;44.086004102743864;159.52535024970896;(0.5352519423781685, 0.0019175537938390993)
